样本ID,风险等级,模型类型,评估者,逻辑清晰度,证据充分性,可理解性,完整性,专业性,综合得分,备注
SAMPLE_0037,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0009,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0022,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0019,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0013,中风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0005,低风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0048,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0038,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0050,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
SAMPLE_0035,高风险,RAG,auto,3,5,5,5,3,4.2,"{""逻辑清晰度"": ""逻辑结构基本合理"", ""证据充分性"": ""证据引用较为充分；包含引用标注"", ""可理解性"": ""句子长度适中，易于阅读；使用强调标记，重点突出；结构清晰，有标题分层"", ""完整性"": ""要素非常完整；包含7/7项要素"", ""专业性"": ""使用了基本专业术语""}"
